dscName,dscDiscoveryYear,dscReservesRC,dscRecoverableOil,dscRecoverableGas,dscRecoverableNGL,dscRecoverableCondensate,dscRecoverableOe,dscNpdidDiscovery
6407/8-6 BAUGE,2013,4F,6.69,1.67,0.87,0.00,10.01,23867160
6506/11-2 (Lange),1991,5F,0.54,0.24,0.06,0.00,0.88,44894
6506/12-3 (Lysing),1985,5F,0.69,0.24,0.07,0.00,1.05,116294
6506/6-1 (Victoria),2000,5F,0.00,8.93,0.00,0.00,8.93,1340823
6506/6-1 (Victoria),2000,7F,0.00,17.86,0.00,0.00,17.86,1340823
6506/9-2 S (Fogelberg),2010,4F,1.39,7.43,0.71,0.00,10.17,18086230
6507/11-6 SIGRID,2001,5F,0.36,1.92,0.33,0.00,2.91,1630057
6507/3-7 (Idun Nord),2009,5F,0.03,0.61,0.09,0.00,0.82,5818184
6507/3-8 (Gjøk),2009,4F,0.08,1.40,0.26,0.00,1.97,17341840
6507/7-13,2001,5F,0.91,0.04,0.00,0.00,0.95,1628221
6507/7-14 S DVALIN,2010,3F,0.00,17.93,0.24,0.40,18.79,18229140
6607/12-2 S (Alve Nord),2011,5F,2.14,4.86,0.00,0.00,6.99,21104629
6705/10-1 (Asterix),2009,4F,0.00,17.17,0.00,0.30,17.47,5466760
6706/11-2 (Gymir),2015,7F,0.00,2.00,0.00,0.00,2.00,26376004
6706/12-2 (Snefrid Nord),2015,4F,0.00,4.97,0.00,0.02,4.99,26311166
6706/12-3 (Roald Rygg),2015,7F,0.00,2.40,0.00,0.00,2.40,26336800
6706/6-1 (Hvitveis),2003,7F,0.00,7.50,0.00,0.00,7.50,2450045
6707/10-3 S (Ivory),2014,7F,0.00,5.10,0.00,0.00,5.10,25594096
7120/12-2 (Alke Sør),1981,5F,0.00,11.37,0.60,0.41,12.92,45002
7120/1-3 (Gohta),2013,5F,14.63,0.00,0.00,0.00,14.63,23761885
7120/1-3 (Gohta),2013,7F,0.00,6.22,0.00,0.00,6.22,23761885
7121/5-2 (Snøhvit Beta),1986,7F,0.00,2.50,0.00,0.30,2.80,45050
7122/6-1 (Tornerose),1987,4F,0.00,3.69,0.00,0.18,3.87,45068
7220/11-1 (Alta),2014,5F,26.40,0.00,0.00,0.00,26.40,25288497
7220/11-1 (Alta),2014,7F,0.00,9.70,0.00,0.00,9.70,25288497
7220/6-2 R,2016,7F,5.00,1.50,0.00,0.00,6.50,28608758
7220/8-1 JOHAN CASTBERG,2011,7F,0.00,10.90,0.00,0.00,10.90,20441001
7220/8-1 JOHAN CASTBERG,2011,4F,88.10,0.00,0.00,0.00,88.10,20441001
7324/8-1 (Wisting),2013,5F,56.48,0.00,0.00,0.00,56.48,23761893
8/10-4 S ODA,2011,3F,7.18,0.34,0.00,0.00,7.53,21118177
