dscName,cmpLongName,dscCurrentActivityStatus,dscHcType,wlbName,nmaName,fldName,dscDateFromInclInField,dscDiscoveryYear,dscResInclInDiscoveryName,dscOwnerKind,dscOwnerName,dscNpdidDiscovery,fldNpdidField,wlbNpdidWellbore,dscFactPageUrl,dscFactMapUrl
34/8-7,,Production is unlikely,GAS,34/8-7 R,North sea,,,1993,,,,44732,,2057,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44732,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=44732
35/10-1,Statoil Petroleum AS,Production is unlikely,OIL,35/10-1,North sea,,,1992,,PRODUCTION LICENSE,293 B,23296174,,1822,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=23296174,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=23296174
35/10-2,Eni Norge AS,Production not evaluated,GAS,35/10-2,North sea,,,1996,,PRODUCTION LICENSE,293,44738,,2783,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44738,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=44738
35/11-13 BYRDING,Statoil Petroleum AS,Approved for production,OIL/GAS,35/11-13,North sea,BYRDING,17.01.2017,2005,,PRODUCTION LICENSE,090 B,3465388,28975067,5063,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=3465388,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=28975067
35/11-15 S FRAM H-NORD,Statoil Petroleum AS,Producing,OIL,35/11-15 S,North sea,FRAM H-NORD,07.06.2013,2007,,BUSINESS ARRANGEMENT AREA,FRAM H-NORD UNIT,4475297,23410947,5517,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4475297,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=23410947
35/11-17 (F-Vest),Statoil Petroleum AS,"Production likely, but unclarified",OIL/GAS,35/11-17,North sea,,,2014,,PRODUCTION LICENSE,090,24624369,,7408,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=24624369,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=24624369
35/11-18 (Syrah),Wintershall Norge AS,Production not evaluated,OIL,35/11-18,North sea,,,2015,,PRODUCTION LICENSE,248 F,27122993,,7771,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=27122993,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=27122993
35/11-20 B,Wintershall Norge AS,Production not evaluated,OIL,35/11-20 B,North sea,,,2016,,PRODUCTION LICENSE,248 F,28543133,,8036,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=28543133,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=28543133
35/11-20 S,Wintershall Norge AS,Production not evaluated,OIL,35/11-20 S,North sea,,,2016,,PRODUCTION LICENSE,248 F,28543142,,7978,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=28543142,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=28543142
35/11-4 FRAM,Statoil Petroleum AS,Producing,OIL/GAS,35/11-4,North sea,FRAM,23.03.2001,1990,,PRODUCTION LICENSE,090,44750,1578840,1523,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44750,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=1578840
