date,mboed,mma
2004-03,1.57,1.29
2004-04,1.36,1.30
2004-05,1.30,1.32
2004-06,1.20,1.35
2004-07,1.14,1.35
2004-08,0.85,1.34
2004-09,1.09,1.34
2004-10,1.43,1.34
2004-11,1.59,1.35
2004-12,1.67,1.36
2005-01,1.58,1.36
2005-02,1.60,1.36
2005-03,1.63,1.37
2005-04,1.61,1.39
2005-05,1.48,1.40
2005-06,1.14,1.40
2005-07,1.27,1.41
2005-08,1.27,1.45
2005-09,1.39,1.47
2005-10,1.42,1.47
2005-11,1.67,1.48
2005-12,1.70,1.48
2006-01,1.68,1.49
2006-02,1.69,1.49
2006-03,1.66,1.50
2006-04,1.52,1.49
2006-05,1.51,1.49
2006-06,1.20,1.50
2006-07,1.44,1.51
2006-08,1.43,1.53
2006-09,1.31,1.52
2006-10,1.40,1.52
2006-11,1.72,1.52
2006-12,1.78,1.53
2007-01,1.65,1.53
2007-02,1.66,1.52
2007-03,1.54,1.51
2007-04,1.76,1.53
2007-05,1.40,1.52
2007-06,1.23,1.53
2007-07,1.31,1.52
2007-08,1.33,1.51
2007-09,1.40,1.51
2007-10,1.70,1.54
2007-11,1.85,1.55
2007-12,1.85,1.56
2008-01,1.88,1.58
2008-02,2.01,1.60
2008-03,1.96,1.64
2008-04,1.81,1.64
2008-05,1.57,1.66
2008-06,1.48,1.68
2008-07,1.54,1.70
2008-08,1.23,1.69
2008-09,1.34,1.68
2008-10,1.81,1.69
2008-11,1.98,1.70
2008-12,2.04,1.72
2009-01,2.11,1.74
2009-02,2.23,1.76
2009-03,1.98,1.76
2009-04,1.85,1.76
2009-05,1.61,1.76
2009-06,1.48,1.76
2009-07,1.66,1.77
2009-08,1.52,1.80
2009-09,1.52,1.81
2009-10,1.68,1.80
2009-11,1.92,1.80
2009-12,2.07,1.80
2010-01,2.18,1.80
2010-02,2.19,1.80
2010-03,2.13,1.82
2010-04,1.80,1.81
2010-05,1.85,1.83
2010-06,1.78,1.86
2010-07,1.55,1.85
2010-08,1.23,1.82
2010-09,1.21,1.80
2010-10,1.91,1.82
2010-11,2.13,1.83
2010-12,2.25,1.85
2011-01,2.11,1.84
2011-02,2.13,1.84
2011-03,2.08,1.83
2011-04,1.56,1.81
2011-05,1.28,1.77
2011-06,1.32,1.73
2011-07,1.48,1.72
2011-08,1.60,1.75
2011-09,1.56,1.78
2011-10,1.67,1.76
2011-11,2.04,1.76
2011-12,2.13,1.75
2012-01,2.26,1.76
2012-02,2.32,1.77
2012-03,2.23,1.79
2012-04,1.97,1.82
2012-05,1.80,1.86
2012-06,1.79,1.90
2012-07,1.83,1.93
2012-08,1.65,1.94
2012-09,1.45,1.93
2012-10,2.03,1.96
2012-11,2.10,1.96
2012-12,2.22,1.97
2013-01,2.14,1.96
2013-02,1.99,1.94
2013-03,1.94,1.91
2013-04,1.91,1.91
2013-05,1.83,1.91
2013-06,1.73,1.90
2013-07,1.86,1.91
2013-08,1.48,1.89
2013-09,1.64,1.91
2013-10,1.90,1.90
2013-11,1.97,1.89
2013-12,2.08,1.87
2014-01,2.00,1.86
2014-02,2.07,1.87
2014-03,2.11,1.88
2014-04,1.88,1.88
2014-05,1.64,1.86
2014-06,1.55,1.85
2014-07,1.62,1.83
2014-08,1.49,1.83
2014-09,1.66,1.83
2014-10,2.13,1.85
2014-11,2.13,1.86
2014-12,2.22,1.88
2015-01,2.08,1.88
2015-02,2.26,1.90
